severity,signal_id,ticker,signal_date,field,signal_value,actual_close,ratio,suggestion,signal_type,email_date,email_subject,raw_text
MANUAL,40156,AEX,2019-02-06,cancel_level,11080.0000,536.6300,20.647,"Value 11080 looks like DAX, not AEX (~537)",BUY,2019-02-06,"#2019 – 021 Charles Nenner Research Center – Morning Update  –  Wednesday, February 6, 2019",The following closes below will give a sell signal: DAX 11080
MANUAL,42309,AEX,2020-03-27,cancel_level,5720.0000,464.9300,12.303,"Value 5720 looks like DAX, not AEX (~465)",BUY,2020-03-27,Friday Morning Update - March 27 #2020-046,"The following closes will cancel the buy signals: AEX a close below 5,720"
MANUAL,44876,AUD/USD,2021-02-19,cancel_level,178.9000,0.7768,230.304,"Ratio 230.30x -- severe, needs manual review",SELL,2021-02-19,Friday Morning Update - February 19 #2021-032,Continues on a sell signal as long as there is no close above 178.90 but he cycles are down.
MANUAL,55066,AUD/USD,2022-12-16,cancel_level,0.0671,0.6706,0.100,Ratio 0.10x -- large deviation,SELL,2022-12-16,Friday Morning Update - December 16 #2022-197,Is back on a sell signal from 0.6800 and reached our short term downside price target of 0.6700. The sell signal continues as long as there is no close above .06710.
MANUAL,42886,BTC,2020-06-22,origin_price,96.0000,9648.7178,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-06-22,"❇  Intraday # 69 - S&P, Euro, Bond & Bitcoin","a close above the hourly trend line, around 96, will be a buy signal."
MANUAL,42886,BTC,2020-06-22,cancel_level,96.0000,9648.7178,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-06-22,"❇  Intraday # 69 - S&P, Euro, Bond & Bitcoin","a close above the hourly trend line, around 96, will be a buy signal."
MANUAL,42307,DAX,2020-03-27,cancel_level,450.0000,9632.5195,0.047,"Ratio 0.05x -- severe, needs manual review",BUY,2020-03-27,Friday Morning Update - March 27 #2020-046,The following closes will cancel the buy signals: DAX a close below 450
MANUAL,42115,EUR/USD,2020-02-17,origin_price,11.0000,1.0842,10.146,"Ratio 10.15x -- severe, needs manual review",SELL,2020-02-17,Monday Morning Update - February 17 #2020-026,The Euro continues on a sell signal from 11 based on a short term cycle low. We can see a bounce if there is a close above 108.70
MANUAL,44541,EUR/USD,2021-01-12,cancel_level,22.0000,1.2161,18.091,"Ratio 18.09x -- severe, needs manual review",SELL,2021-01-12,"❇ Intraday # 3 - S&P, Nasdaq, GLD, Silver, Euro & GBTC",The Euro gave the projected sell signal below 22 but for now we do not expect a serious correction.
MANUAL,47652,FXE,2021-10-10,cancel_level,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021 -170,The FXE will give a buy signal on a close above 19.50.
MANUAL,47657,FXE,2021-10-10,origin_price,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021-170,The FXE will give a buy signal on a close above 19.50
MANUAL,47657,FXE,2021-10-10,cancel_level,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021-170,The FXE will give a buy signal on a close above 19.50
MANUAL,40218,GC,2019-02-27,cancel_level,113.1900,1317.7000,0.086,"Ratio 0.09x -- severe, needs manual review",SELL,2019-02-27,"#2019 - 031 Charles Nenner Research Center - Morning Update - Wednesday, February 27, 2019",A close below 113.19 for gold and for silver 15.61 will be a sell signal.
MANUAL,43136,GC,2020-07-17,cancel_level,18.1600,1808.3000,0.010,"Value 18.16 looks like Silver, not Gold (~1808)",BUY,2020-07-17,Friday Morning Update - July 17 #2020-102,The buy signal continues as long as there is not a close below 18.16.
CHECK,49461,GDXJ,2022-01-28,origin_price,140.0000,34.9420,4.007,Ratio 4.01x -- moderate deviation,SELL,2022-01-28,Friday Morning Update - January 28  #2022-018,GDXJ is on a sell signal from 140.
MANUAL,56349,GDXJ,2023-03-08,cancel_level,3350.0000,30.7256,109.030,"Ratio 109.03x -- severe, needs manual review",SELL,2023-03-08,Wednesday Morning Update - March 8 #2023 -038,"GDXJ gave a sell signal with a close below 3,350."
CHECK,47476,GLD,2021-09-29,cancel_level,64.5000,161.3200,0.400,Ratio 0.40x -- moderate deviation,SELL,2021-09-29,Wednesday Morning Update - September 29 #2021-163,"Gold, GLD and GDXJ continue on a sell signal as long as we don't see the following closes: GLD above 64.50"
CHECK,47552,GLD,2021-10-01,cancel_level,64.5000,164.5900,0.392,Ratio 0.39x -- moderate deviation,SELL,2021-10-01,Friday Morning Update - October 1 #2021-164,Sell signals continue as long as we don't see the following closes: GLD above 64.50
MANUAL,52413,GS,2022-07-24,cancel_level,34.0000,296.2280,0.115,Ratio 0.11x -- large deviation,SELL,2022-07-24,Sunday Cycle Chart - July 24 #2022 -115,"However, short term traders can keep a sell signal just below 34."
MANUAL,46317,LBS,2021-07-06,cancel_level,145.5000,792.9000,0.184,Ratio 0.18x -- large deviation,BUY,2021-07-06,"❇  Intraday #57 - Nasdaq, Gold, Crude, Corn, Lumber, Soybeans, Wheat, TLT & Bitcoin",A close below 145.50 will cancel the buy signal.
MANUAL,46390,LBS,2021-07-07,cancel_level,38.0000,780.0000,0.049,"Ratio 0.05x -- severe, needs manual review",SELL,2021-07-07,Wednesday Morning Update - July 7 #2021-115,CUT - the sell signal continues as long as there is no close above 38.
MANUAL,46759,LBS,2021-08-06,cancel_level,37.5000,551.6000,0.068,"Ratio 0.07x -- severe, needs manual review",BUY,2021-08-06,Friday Morning Update - August 6 #2021-131,CUT continues on a buy signal as long as there is no close below 37.50.
MANUAL,47021,LBS,2021-08-27,cancel_level,38.7000,485.2000,0.080,"Ratio 0.08x -- severe, needs manual review",SELL,2021-08-27,Friday Morning Update - August 27 #2021-144,The short term cycles are up for two weeks but a close above 550 will lead to a bounce. CUT closed one tick above our level of 38.70 with a close of 38.71 which is not convincing enough. The sell signal continues until we get a good close above 38.70.
MANUAL,48214,LBS,2021-11-08,cancel_level,37.5000,591.1000,0.063,"Ratio 0.06x -- severe, needs manual review",SELL,2021-11-08,Monday Morning Update - November 8 #2021-187,CUT the sell signal continues as long as there is no close above 37.50.
MANUAL,56448,LBS,2023-03-13,origin_price,68.0000,353.6000,0.192,Ratio 0.19x -- large deviation,BUY,2023-03-13,Monday Morning Update - March 13 #2023 -041,Continues on a buy signal from 68 as long as there is no close below 395.
CHECK,42766,MMM,2020-06-07,cancel_level,30.5000,113.8703,0.268,Ratio 0.27x -- moderate deviation,BUY,2020-06-07,Sunday Cycle Chart - June 7 #2020-084,Continues on a buy signal but soon the cycle reaches a high. Only a close below 30.50 will be a sell signal.
MANUAL,42070,NG,2020-02-10,cancel_level,15.4000,1.7660,8.720,Ratio 8.72x -- large deviation,BUY,2020-02-10,Monday Morning Update - February 10 #2020-022,We will have a buy signal on a close above 15.40
CHECK,56679,NG,2023-03-27,cancel_level,6.4600,2.0880,3.094,Ratio 3.09x -- moderate deviation,SELL,2023-03-27,Monday Morning Update - March 27 #2023 -049,There could be small a bounce if there is a close above 6.46.
MANUAL,55948,NQ,2023-02-10,cancel_level,121420.0000,12346.2500,9.835,Ratio 9.83x -- large deviation,BUY,2023-02-10,Friday Morning Update - February 10 #2023 -024,"A close for the Nasdaq below 121,420, Dow Jones below 33,700, and Fang below 5,400 is therefore needed to get equities on a sell signal."
MANUAL,44910,NYFANG,2021-02-28,origin_price,320.0000,6775.5601,0.047,"Ratio 0.05x -- severe, needs manual review",SELL,2021-02-28,Sunday Cycle Chart - February 28 #2021 -037,"The QQQ closed below the channel, around 320, and is on a sell signal."
MANUAL,44910,NYFANG,2021-02-28,cancel_level,320.0000,6775.5601,0.047,"Ratio 0.05x -- severe, needs manual review",SELL,2021-02-28,Sunday Cycle Chart - February 28 #2021 -037,"The QQQ closed below the channel, around 320, and is on a sell signal."
MANUAL,40168,SI,2019-02-08,cancel_level,1555.0000,15.7730,98.586,"Ratio 98.59x -- severe, needs manual review",BUY,2019-02-08,"#2019 - 022 Charles Nenner Research Center - Morning Update  -  Friday, February 8, 2019",A close below 1555 will cancel the buy signal.
MANUAL,40174,SI,2019-02-11,cancel_level,15555.0000,15.6570,993.485,"Ratio 993.49x -- severe, needs manual review",SELL,2019-02-11,"#2019 - 023 Charles Nenner Research Center - Morning Update  -  Monday, February 11, 2019",Gold will cancel the sell signal below 1302 and silver below 15555.
MANUAL,40192,SI,2019-02-13,cancel_level,1558.0000,15.6240,99.718,"Ratio 99.72x -- severe, needs manual review",BUY,2019-02-13,"#2019 - 024 Charles Nenner Research Center - Morning Update  -  Wednesday, February 13, 2019",A below 1558 will be a sell signal.
MANUAL,42803,TSX,2020-06-05,cancel_level,153.1000,15854.0996,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-06-05,Friday Morning Update - June 5 #2020-083,Our upside price target has bee reached but only a close below 153.10 will cancel the buy signal.
MANUAL,44247,TSX,2020-12-02,cancel_level,172.5000,17358.1992,0.010,"Ratio 0.01x -- severe, needs manual review",SELL,2020-12-02,Wednesday Morning Update - December 2 #2020-183,a close below 172.50 will be a sell signal
MANUAL,44298,TSX,2020-12-07,cancel_level,172.5000,17582.4004,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-12-07,Monday Morning Update - December 7 #2020-186,A close below 172.50 will cancel the buy signal.
MANUAL,45865,USD/CHF,2021-05-21,cancel_level,0.0950,0.8973,0.106,Ratio 0.11x -- large deviation,SELL,2021-05-21,Friday Morning Update - May 21 #2021-088,The move to 0.88 continues. Now trading around 0.8950 the move will continue as long as there is no close above .0950. (Note the change)
MANUAL,55760,USD/JPY,2023-01-27,origin_price,1.2900,129.8000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2023-01-27,Friday Morning Update - January 27 #2023-016,Continues on a buy signal from 1.29 as long as there is no close below 128.
MANUAL,40190,VIX,2019-02-13,cancel_level,1820.0000,15.6500,116.294,Value 1820 way too high for VIX (~15.6),SELL,2019-02-13,"#2019 - 024 Charles Nenner Research Center - Morning Update  -  Wednesday, February 13, 2019",The sell signal continues as long as there is no close above 1820.
MANUAL,40267,YM,2019-03-04,origin_price,2440.0000,25814.0000,0.095,"Ratio 0.09x -- severe, needs manual review",BUY,2019-03-04,"#2019 - 034 Charles Nenner Research Center - Morning Update - Monday, March 4, 2019",The markets continue on a buy signal. Dow below 25820
CHECK,41044,YM,2019-07-12,cancel_level,6800.0000,27309.0000,0.249,Ratio 0.25x -- moderate deviation,SELL,2019-07-12,Friday Morning Update - July 12 - #2019-107,"DOW below 6,800"
MANUAL,42418,YM,2020-04-21,cancel_level,2347.0000,22929.0000,0.102,Ratio 0.10x -- large deviation,SELL,2020-04-21,‼ Special Edition Update - April 21 #2020-059,"An hourly close below 2,347 will be a sell signal."
MANUAL,44423,YM,2020-12-27,cancel_level,3440.0000,30109.0000,0.114,Ratio 0.11x -- large deviation,SELL,2020-12-27,Sunday Cycle Chart - December 27 #2020-196,"A close below 3,440 will be a break below the rising wedge which usually is very negative."
MANUAL,46692,YM,2021-08-04,cancel_level,3850.0000,34690.0000,0.111,Ratio 0.11x -- large deviation,BUY,2021-08-04,Wednesday Morning Update - August 4 #2021-130,"US markets continue on a buy signal since not all 4 of them gave a sell signal. Dow Jones below 3,850 (no change)"
MANUAL,48952,YM,2021-12-28,cancel_level,362.0000,36282.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-12-28,"✳ Intraday #105 – S&P, DIA, Gold, GLD, Silver, Crude, Bitcoin & AT&T","The buy signal continues but the DIA is at the top of the intraday channel. A close below the channel, around 362, will cancel the buy signal but just short term."
MANUAL,48959,YM,2021-12-28,cancel_level,362.0000,36282.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-12-28,"✳ Intraday #105 – S&P, DIA, Gold, GLD, Silver, Crude, Bitcoin & AT&T","The buy signal continues but the DIA is at the top of the intraday channel. A close below the channel, around 362, will cancel the buy signal but just short term."
MANUAL,49003,YM,2021-12-30,cancel_level,365.0000,36291.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-12-30,"✳ Intraday #105 – S&P, DIA, Nasdaq, Silver, Yen & Bitcoin","Very short term the buy signal will be canceled on a close below the support line, around 365."
MANUAL,49070,YM,2022-01-04,cancel_level,366.0000,36675.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2022-01-04,"✳Intraday #001 – DIA, GDXJ, Crude, Soybeans, Bonds, TLT, Bitcoin, AIG, AT&T, BBY & IBM","Investors that are long DIA should continue long as long as there is no close below the support line, around 366."
MANUAL,49130,YM,2022-01-06,cancel_level,362.0000,36123.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2022-01-06,"✳ Intraday # 002 - DIA, S&P, Nasdaq, GDXJ, Silver, Crude, Bonds & Bitcoin",we are holding long only DIA as long as there is no close below 362
MANUAL,49136,YM,2022-01-09,cancel_level,362.0000,36107.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2022-01-09,Sunday Cycle Chart - January 9 #2022 -008,we are still long DIA as long as there is no close below 362
MANUAL,54405,YM,2022-11-15,cancel_level,334.0000,33605.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2022-11-15,✳ Intraday #86,The buy signal continues as long as there is no close below the support line of around 334.
MANUAL,54492,YM,2022-11-16,cancel_level,3350.0000,33591.0000,0.100,"Ratio 0.10x -- severe, needs manual review",BUY,2022-11-16,Wednesday Morning Update - November 16 #2022-180,"Dow Jones continues on a buy signal as long as there is no close below 3,350."
MANUAL,54486,YM,2022-11-20,cancel_level,334.0000,33775.0000,0.010,"Ratio 0.01x -- severe, needs manual review",SELL,2022-11-20,Sunday Cycle Chart - November 20 #2022 -182,The support line was broken and a close below 334 will be a sell signal.
MANUAL,40212,ZB,2019-02-25,cancel_level,1145.2500,146.1250,7.837,Ratio 7.84x -- large deviation,SELL,2019-02-25,"#2019 - 030 Charles Nenner Research Center - Morning Update - Monday, February 25, 2019",US 30 year below 1145.25
MANUAL,43584,ZB,2020-09-02,cancel_level,17508.0000,178.8750,97.878,"Ratio 97.88x -- severe, needs manual review",BUY,2020-09-02,Wednesday Morning Update - September 2 #2020-130,The Bonds are on a small buy signal but we are standing aside. The following closes will again cancel the buy signal. US 30 year below 17508
MANUAL,43601,ZB,2020-09-04,cancel_level,17508.0000,177.0312,98.898,"Ratio 98.90x -- severe, needs manual review",BUY,2020-09-04,Friday Morning Update - September 4 #2020-131,The Bonds are on a small buy signal but we are standing aside. The following closes will again cancel the buy signal. US 30 year below 17508
MANUAL,44241,ZB,2020-12-03,cancel_level,17306.0000,171.9062,100.671,"Ratio 100.67x -- severe, needs manual review",BUY,2020-12-03,"❇ Intraday #128 – QQQ, Gold, Copper & Bonds - December 3","a close above the trendline, around 17,306, will be a buy signal."
MANUAL,41277,ZC,2019-09-08,cancel_level,3.7100,342.5000,0.011,"Ratio 0.01x -- severe, needs manual review",SELL,2019-09-08,Sunday Cycle Charts - September 8 - #2019-139,A close above 3.71 will cancel the sell signal.
MANUAL,41400,ZC,2019-10-06,origin_price,3.9200,384.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2019-10-06,Sunday Morning Update - October 6 #2019-154,A close above 3.92 for December futures will be a buy signal.
MANUAL,41400,ZC,2019-10-06,cancel_level,3.9200,384.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2019-10-06,Sunday Morning Update - October 6 #2019-154,A close above 3.92 for December futures will be a buy signal.
MANUAL,41467,ZC,2019-10-13,origin_price,3.9200,397.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2019-10-13,Sunday & Monday Morning Update - October 13 & 14 #2019-158,We are long corn since our buy signal was 3.92. We keep a sell stop for Dec corn about 3.82.
MANUAL,41467,ZC,2019-10-13,cancel_level,3.8200,397.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2019-10-13,Sunday & Monday Morning Update - October 13 & 14 #2019-158,We are long corn since our buy signal was 3.92. We keep a sell stop for Dec corn about 3.82.
MANUAL,42093,ZC,2020-02-16,cancel_level,3.8500,377.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-02-16,Sunday Cycle Chart - February 16 #2020-025,A close above 3.85 will cancel the buy signal.
MANUAL,43412,ZC,2020-08-18,cancel_level,12.1100,327.0000,0.037,"Ratio 0.04x -- severe, needs manual review",BUY,2020-08-18,"❇ Intraday #92 – S&P, Nasdaq, Euro, UNG, Corn & Nat Gas",Our long position is up 20% and our sell signal will be a close below 12.11.
MANUAL,46197,ZC,2021-06-21,cancel_level,5.8000,659.2500,0.009,"Ratio 0.01x -- severe, needs manual review",SELL,2021-06-21,Monday Morning Update - June 21 #2021-106,A close above 5.80 is still needed to cancel the sell signal.
MANUAL,47519,ZC,2021-09-27,cancel_level,5.3000,539.5000,0.010,"Ratio 0.01x -- severe, needs manual review",SELL,2021-09-27,Monday Morning Update - September 27 #2021-162,Short term cycles are down until October 12 and a close above 5.30 will cancel the sell signal.
MANUAL,48172,ZC,2021-11-10,origin_price,5.6000,569.2500,0.010,"Ratio 0.01x -- severe, needs manual review",SELL,2021-11-10,Wednesday Morning Update - November 10 #2021-188,Sell signal from 5.60 continues as long as there is no close above 5.65.
MANUAL,48172,ZC,2021-11-10,cancel_level,5.6500,569.2500,0.010,"Ratio 0.01x -- severe, needs manual review",SELL,2021-11-10,Wednesday Morning Update - November 10 #2021-188,Sell signal from 5.60 continues as long as there is no close above 5.65.
MANUAL,41401,ZS,2019-10-06,origin_price,9.2500,916.2500,0.010,"Value 9.25 looks like SOYB ETF, not ZS futures (~916)",BUY,2019-10-06,Sunday Morning Update - October 6 #2019-154,A close above 9.25 is needed for a buy signal.
MANUAL,41401,ZS,2019-10-06,cancel_level,9.2500,916.2500,0.010,"Value 9.25 looks like SOYB ETF, not ZS futures (~916)",BUY,2019-10-06,Sunday Morning Update - October 6 #2019-154,A close above 9.25 is needed for a buy signal.
MANUAL,45701,ZS,2021-05-14,cancel_level,14.5000,1603.7500,0.009,"Value 14.5 looks like SOYB ETF, not ZS futures (~1604)",BUY,2021-05-14,Commodities Update - 2021-081,Canceled the buy signal since there was a close below 14.50.
MANUAL,45857,ZS,2021-05-21,cancel_level,14.0500,1526.2500,0.009,"Value 14.05 looks like SOYB ETF, not ZS futures (~1526)",SELL,2021-05-21,Friday Morning Update - May 21 #2021-088,Continue on a sell signal and the cycles are down until June. Only a close above 14.05 will cancel the sell signal.
MANUAL,46640,ZS,2021-08-02,cancel_level,30.8000,1418.7500,0.022,"Value 30.8 looks like SOYB ETF, not ZS futures (~1419)",SELL,2021-08-02,Monday Morning Update - August 2 #2021-129,Continue on a sell signal as long as there is no close above 30.80.
MANUAL,55054,ZS,2022-12-16,origin_price,14075.0000,1480.0000,9.510,Ratio 9.51x -- large deviation,SELL,2022-12-16,Friday Morning Update - December 16 #2022-197,"Continues on a sell signal from 14,075 as long as there is no close above 1,480."
MANUAL,56447,ZS,2023-03-13,origin_price,68.0000,1500.0000,0.045,"Value 68.0 looks like SOYB ETF, not ZS futures (~1500)",BUY,2023-03-13,Monday Morning Update - March 13 #2023 -041,"Continues on a buy signal from 68 as long as there is no close below 1,490."
MANUAL,45174,ZW,2021-03-30,origin_price,6.1000,601.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-03-30,Special Tuesday Cycle Charts - #2021-053,Short term traders can buy the ETF WEAT on a close above 6.10 with a sell stop around 5.80.
MANUAL,45174,ZW,2021-03-30,cancel_level,6.1000,601.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-03-30,Special Tuesday Cycle Charts - #2021-053,Short term traders can buy the ETF WEAT on a close above 6.10 with a sell stop around 5.80.
MANUAL,45286,ZW,2021-04-11,origin_price,6.1000,638.7500,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-04-11,Sunday Cycle Chart - April 11 #2021 -060,we went long WEAT on April 8 since it closed above 6.10. We now set our sell stop to below 6
MANUAL,45286,ZW,2021-04-11,cancel_level,6.0000,638.7500,0.009,"Ratio 0.01x -- severe, needs manual review",BUY,2021-04-11,Sunday Cycle Chart - April 11 #2021 -060,we went long WEAT on April 8 since it closed above 6.10. We now set our sell stop to below 6
MANUAL,45365,ZW,2021-04-18,cancel_level,6.2000,652.5000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2021-04-18,Sunday Cycle Chart - April 18 #2021 -064,The buy signal continues and we are long WEAT. The up move continues as long as there is no close below 6.20.
MANUAL,50967,ZW,2022-05-02,cancel_level,10.5000,1043.5000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2022-05-02,Monday Morning Update - May #2022-068,Cancelled the buy signal since there was a close below 10.50.
MANUAL,51618,ZW,2022-06-07,origin_price,11.4000,1071.7500,0.011,"Ratio 0.01x -- severe, needs manual review",SELL,2022-06-07,Special Update - Tuesday  June 7 #2022-086,WEAT continues on a sell signal from 11.40 as long as there is no close above 11.80.
MANUAL,51618,ZW,2022-06-07,cancel_level,11.8000,1071.7500,0.011,"Ratio 0.01x -- severe, needs manual review",SELL,2022-06-07,Special Update - Tuesday  June 7 #2022-086,WEAT continues on a sell signal from 11.40 as long as there is no close above 11.80.
MANUAL,55998,ZW,2023-02-13,origin_price,7.9000,792.0000,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2023-02-13,Monday Morning Update - February 13 #2023 -026,The cycle is bottoming and gave a buy signal above 7.90. There is an upside price target of 8.20.
